t,E,Ttrans,Trot,Tgyro,Trel,Vslosh,Vcoup,Hx,Hy,Hz,Hn,Px,Py,Pz,s,sd,th1,th2
6.520000000000e+0,2.472930255810e+0,0.000000000000e+0,8.586584593673e-1,-8.326976346129e-2,2.283929478384e-1,1.464474041964e+0,4.674570101763e-3,3.057402047114e+1,8.609316135748e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.665707428684e-2,-3.299559308975e-3,-7.498297862392e-2,-9.331347941580e-2
6.540000000000e+0,2.472930255810e+0,0.000000000000e+0,8.606110403142e-1,-8.537268226329e-2,2.319234459003e-1,1.462022521397e+0,3.745930461780e-3,3.057402047114e+1,8.609316135748e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.671709062046e-2,-2.702062228532e-3,-7.632219214987e-2,-9.273119306312e-2
6.560000000000e+0,2.472930255810e+0,0.000000000000e+0,8.629020228272e-1,-8.819828590854e-2,2.392496164294e-1,1.456090033660e+0,2.886868801685e-3,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.676515877926e-2,-2.104865563902e-3,-7.760722750666e-2,-9.201227484579e-2
6.580000000000e+0,2.472930255810e+0,0.000000000000e+0,8.655183636808e-1,-9.172393948658e-2,2.502742482101e-1,1.446749596983e+0,2.111986422301e-3,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.680129218746e-2,-1.508710462874e-3,-7.883699786668e-2,-9.115799110660e-2
6.600000000000e+0,2.472930255810e+0,0.000000000000e+0,8.684450282700e-1,-9.592290535781e-2,2.648790859823e-1,1.434093113272e+0,1.435933643621e-3,3.057402047114e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.682551906285e-2,-9.143349931123e-4,-8.001045034238e-2,-9.016981302315e-2
6.620000000000e+0,2.472930255810e+0,0.000000000000e+0,8.716650912556e-1,-1.007645369110e-1,2.829257231019e-1,1.418230674311e+0,8.733040520660e-4,3.057402047115e+1,8.609316135749e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.683788234686e-2,-3.224733145816e-4,-8.112656695310e-2,-8.904941423776e-2
6.640000000000e+0,2.472930255810e+0,0.000000000000e+0,8.751598485365e-1,-1.062144954574e-1,3.042566126771e-1,1.399289763728e+0,4.385263250878e-4,3.057402047115e+1,8.609316135750e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.683843961805e-2,2.661451601363e-4,-8.218436558364e-2,-8.779866818258e-2
6.660000000000e+0,2.472930255810e+0,0.000000000000e+0,8.789089398229e-1,-1.122349888386e-1,3.286961905853e-1,1.377414359883e+0,1.457543574004e-4,3.057402047115e+1,8.609316135750e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.682726298868e-2,8.507966186069e-4,-8.318290093341e-2,-8.641964510357e-2
6.680000000000e+0,2.472930255810e+0,0.000000000000e+0,8.828904810262e-1,-1.187850301989e-1,3.560521031168e-1,1.352763945427e+0,8.756438594598e-6,3.057402047115e+1,8.609316135750e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.680443898403e-2,1.430763714984e-3,-8.412126545486e-2,-8.491460878708e-2
6.700000000000e+0,2.472930255810e+0,0.000000000000e+0,8.870812056203e-1,-1.258207152558e-1,3.861165313651e-1,1.325512429827e+0,4.080425291014e-5,3.057402047115e+1,8.609316135751e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.677006840433e-2,2.005336450379e-3,-8.499859027984e-2,-8.328601299344e-2
6.720000000000e+0,2.472930255810e+0,0.000000000000e+0,8.914566140804e-1,-1.332955162944e-1,4.186676039094e-1,1.295846991627e+0,2.545624875091e-4,3.057402047115e+1,8.609316135751e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.672426616885e-2,2.573813067009e-3,-8.581404613258e-2,-8.153649760203e-2
6.740000000000e+0,2.472930255810e+0,0.000000000000e+0,8.959911304543e-1,-1.411605910144e-1,4.534708888032e-1,1.263966847720e+0,6.619798462524e-4,3.057402047115e+1,8.609316135751e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.666716114209e-2,3.135500955596e-3,-8.656684422771e-2,-7.966888447304e-2
